id,gameid,riotversion,tournament,leaguefullname,league,matchid,dateutc,game,patch,side,teamfullname,team,team_oppsfullname,team_opps,position,player,champion,mastery,rune,primarytree,secondarytree,bluepickposition1,bluepickposition2,bluepickposition3,bluepickposition4,bluepickposition5,redpickposition1,redpickposition2,redpickposition3,redpickposition4,redpickposition5,result,ban1,ban2,ban3,ban4,ban5,spell1,spell2,participantid,split,playoffs,worldsqualifier,playin,promotion,year,pickfirst,damagedealttoturrets,doublekills,goldearned,goldspent,neutralminionskilledenemyjungle,neutralminionskilledteamjungle,pentakills,quadrakills,timeccingothers,triplekills,visionscore,visionwardsboughtingame,gamelength,vspm,gold8,gold14,gold20,goldend,golddiff8,golddiff14,golddiff20,golddiffend,minionskilled8,minionskilled14,minionskilled20,minionskilledend,jungleminionskilled8,jungleminionskilled14,jungleminionskilled20,jungleminionskilledend,jgdiff8,jgdiff14,jgdiff20,jgdiffend,cs8,cs14,cs20,csend,csdiff8,csdiff14,csdiff20,csdiffend,level8,level14,level20,levelend,xp8,xp14,xp20,xpend,damaged_total8,damaged_total14,damaged_total20,damaged_totalend,damaged_true8,damaged_true14,damaged_true20,damaged_trueend,damaged_physical8,damaged_physical14,damaged_physical20,damaged_physicalend,damaged_magic8,damaged_magic14,damaged_magic20,damaged_magicend,damagetaken_total8,damagetaken_total14,damagetaken_total20,damagetaken_totalend,damagetaken_true8,damagetaken_true14,damagetaken_true20,damagetaken_trueend,damagetaken_physical8,damagetaken_physical14,damagetaken_physical20,damagetaken_physicalend,damagetaken_magic8,damagetaken_magic14,damagetaken_magic20,damagetaken_magicend,gd814,csd814,gd1420,csd1420,gd20end,csd20end,cs14endshare,gd20endpermin,csd20endpermin,gdm,csdm,goldlead8,goldlead14,goldlead20,duogd8,duogd14,duogd20,duogdend,duogdm,duogd20endpermin,duogoldlead8,duogoldlead14,duogoldlead20,dpm,dpg,damageshare,damagetakenshare,dragonfirst,dragonpercent,dragon,opps_dragon,dragon8,opps_dragon8,dragon14,opps_dragon14,dragon20,opps_dragon20,dragonfire,opps_dragonfire,dragonfire8,opps_dragonfire8,dragonfire14,opps_dragonfire14,dragonfire20,opps_dragonfire20,dragonwater,opps_dragonwater,dragonwater8,opps_dragonwater8,dragonwater14,opps_dragonwater14,dragonwater20,opps_dragonwater20,dragonearth,opps_dragonearth,dragonearth8,opps_dragonearth8,dragonearth14,opps_dragonearth14,dragonearth20,opps_dragonearth20,dragonair,opps_dragonair,dragonair8,opps_dragonair8,dragonair14,opps_dragonair14,dragonair20,opps_dragonair20,dragonhextech,opps_dragonhextech,dragonhextech8,opps_dragonhextech8,dragonhextech14,opps_dragonhextech14,dragonhextech20,opps_dragonhextech20,dragonchemtech,opps_dragonchemtech,dragonchemtech8,opps_dragonchemtech8,dragonchemtech14,opps_dragonchemtech14,dragonchemtech20,opps_dragonchemtech20,dragonelder,opps_dragonelder,dragonnotelder,opps_dragonnotelder,horde,opps_horde,horde0,opps_horde0,horde1,opps_horde1,horde2,opps_horde2,horde3,opps_horde3,horde4,opps_horde4,horde5,opps_horde5,horde6,opps_horde6,hordepercent,herald,opps_herald,heraldfirst,heraldsecond,herald14,opps_herald14,heraldpercent,baron,opps_baron,baronfirst,baronpercent,turretplate,turretplatelost,turretplatetop,turretplatetoplost,turretplatemid,turretplatemidlost,turretplatebot,turretplatebotlost,turretplate8,turretplatelost8,turretplatetop8,turretplatetop8lost,turretplatemid8,turretplatemid8lost,turretplatebot8,turretplatebot8lost,towerkillparticipated,towerkill,towerlost,towerkill8,towerlost8,towerkill14,towerlost14,towerkill20,towerlost20,firsttower,firsttowerkilltime,firsttoptower,firsttoptowerkilltime,firstmidtower,firstmidtowerkilltime,firstbottower,firstbottowerkilltime,inhibitorkill,inhibitorlost,kill,kill8,kill14,kill20,death,death8,death14,death20,assist,assist8,assist14,assist20,ck,ck8,ck14,ck20,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,solokill,solokill8,solokill14,solokill20,solokillvictim,solokillvictim8,solokillvictim14,solokillvictim20,duokill,duokill8,duokill14,duokill20,duokillassist,duokillassist8,duokillassist14,duokillassist20,duokillvictim,duokillvictim8,duokillvictim14,duokillvictim20,duokillparticipated,duokillparticipated8,duokillparticipated14,duokillparticipated20,killparticipated,killparticipated8,killparticipated14,killparticipated20,kpm,ckpm,kppercent,wardplaced,visionwardplaced,wardplaced8,visionwardplaced8,wardplaced14,visionwardplaced14,wardplaced20,visionwardplaced20,wardcleared,visionwardcleared,wardcleared8,visionwardcleared8,wardcleared14,visionwardcleared14,wardcleared20,visionwardcleared20,wpm,vwpm,wcpm,vwcpm,skilllevel1,skilllevel2,skilllevel3,skilllevel4,skilllevel5,skilllevel6,skilllevel7,skilllevel8,skilllevel9,skilllevel10,skilllevel11,skilllevel12,skilllevel13,skilllevel14,skilllevel15,skilllevel16,skilllevel17,skilllevel18,evolve1,evolve2,evolve3,buffsstolen,championtransform,initialcrabcount,objectivesstolen,objectivesstolenassists,scuttlecrabkills,totalallyjungleminionskilled,totalenemyjungleminionskilled,totaltimespentdead
1,LOLTMNT02_22165,5,LCK 2024 Spring,LoL Champions Korea,LCK,LCK/2024 Season/Spring Season_Week 1_1,2024-01-17 8:20,1,14.1,Blue,DRX,DRX,Nongshim RedForce,NS,top,Rascal,Udyr,,Grasp of the Undying,Resolve,Inspiration,Bot,Mid,Support,Jungle,Top,Support,Mid,Bot,Jungle,Top,0,K'Sante,Kalista,LeBlanc,Skarner,Sejuani,Ghost,Teleport,1,Spring,0,0,0,0,2024,1,1898,0,14627,14350,,,0,0,39,0,61,6,2507,1.459912246,2868,4937,7243,14627,319,152,303,-3390,72,134,193,347,0,0,4,5,0,0,4,-2,72,134,197,352,8,-2,3,-7,7,11,13,18,3809,7311,10718,21714,1522,3546,4774,12881,0,0,0,373,245,565,785,3600,1276,2980,3989,8907,2586,6471,9095,36757,0,0,66,1177,2299,5445,7071,26853,287,1026,1958,8726,-167,-10,151,5,-3693,-10,0.269135802,-2.825554705,-0.007651109,-81.13282808,-0.167530913,1,1,1,,,,,,,0,0,0,5.138013562,0.880631708,0.119309393,0.252444988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.047865975,0.285714286,18,5,3,1,6,1,9,2,13,9,0,0,0,0,0,0,0.430793777,0.119664938,0.311128839,0.215396889,R,W,R,E,R,W,R,Q,R,W,R,W,W,W,E,E,E,E,,,,0,0,0,0,0,0,0,3,42
2,LOLTMNT02_22165,5,LCK 2024 Spring,LoL Champions Korea,LCK,LCK/2024 Season/Spring Season_Week 1_1,2024-01-17 8:20,1,14.1,Blue,DRX,DRX,Nongshim RedForce,NS,jungle,Sponge,Poppy,,Phase Rush,Sorcery,Inspiration,Bot,Mid,Support,Jungle,Top,Support,Mid,Bot,Jungle,Top,0,K'Sante,Kalista,LeBlanc,Skarner,Sejuani,Flash,Smite,2,Spring,0,0,0,0,2024,0,1741,0,13387,12500,,,0,0,29,0,79,20,2507,1.890706023,2603,5011,7225,13387,443,884,1131,-109,0,11,22,50,57,87,118,166,17,19,10,-4,57,98,140,216,17,27,23,-12,6,8,11,16,2791,4913,7939,15969,0,2683,4991,11256,0,68,262,600,0,2287,4147,8996,0,327,581,1659,4446,7057,10845,37178,0,48,48,1113,4275,5984,8729,21371,171,1024,2067,14692,441,10,247,-4,-1240,-35,0.145679012,-0.948737567,-0.026778883,-2.608695652,-0.287195852,1,1,1,,,,,,,0,0,0,4.48982848,0.840815717,0.10425794,0.255336392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,6,0,2,3,4,0,0,0,3,0,0,0,10,0,2,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,3,0.143597926,0.239329876,0.642857143,20,18,4,2,5,3,8,6,20,11,0,0,6,4,11,6,0.478659753,0.430793777,0.478659753,0.263262864,Q,E,W,Q,Q,R,Q,W,Q,W,R,W,W,E,E,R,,,,,,2,0,1,0,0,5,98,18,143
3,LOLTMNT02_22165,5,LCK 2024 Spring,LoL Champions Korea,LCK,LCK/2024 Season/Spring Season_Week 1_1,2024-01-17 8:20,1,14.1,Blue,DRX,DRX,Nongshim RedForce,NS,mid,SeTab,Orianna,,Arcane Comet,Sorcery,Inspiration,Bot,Mid,Support,Jungle,Top,Support,Mid,Bot,Jungle,Top,0,K'Sante,Kalista,LeBlanc,Skarner,Sejuani,Teleport,Flash,3,Spring,0,0,0,0,2024,0,3673,0,15142,14000,,,0,0,27,0,43,8,2507,1.029118468,2719,5199,8101,15142,280,847,1619,-3181,74,142,206,338,0,0,0,0,0,0,0,-29,74,142,206,338,15,29,35,-41,7,11,13,18,3885,7474,11383,20947,2549,4736,6496,25837,0,0,0,0,344,490,681,1035,2205,4246,5815,24801,2245,4595,6436,22763,0,0,0,179,491,1250,1927,9473,1754,3344,4508,13109,567,14,772,6,-4800,-76,0.241975309,-3.672532517,-0.058148432,-76.13083367,-0.981252493,1,1,1,,,,,,,0,0,0,10.30594336,1.706313565,0.239313469,0.156334991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,0,0,1,3,0,0,0,6,0,1,1,5,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,2,0.047865975,0.119664938,0.571428571,19,8,3,1,7,2,10,4,10,6,2,1,3,2,4,3,0.454726765,0.191463901,0.239329876,0.143597926,Q,W,W,E,W,R,W,Q,W,Q,R,Q,Q,E,E,R,E,E,,,,0,0,0,0,0,0,0,0,102
4,LOLTMNT02_22165,5,LCK 2024 Spring,LoL Champions Korea,LCK,LCK/2024 Season/Spring Season_Week 1_1,2024-01-17 8:20,1,14.1,Blue,DRX,DRX,Nongshim RedForce,NS,bot,Teddy,Lucian,,First Strike,Inspiration,Sorcery,Bot,Mid,Support,Jungle,Top,Support,Mid,Bot,Jungle,Top,0,K'Sante,Kalista,LeBlanc,Skarner,Sejuani,Flash,Cleanse,4,Spring,0,0,0,0,2024,1,5211,0,19772,20950,,,0,0,2,0,55,5,2507,1.31631432,2730,4904,8373,19772,35,432,1389,827,70,125,193,368,0,0,0,24,0,-4,-4,-30,70,125,193,392,-1,-1,0,-6,5,8,11,17,2247,4367,7479,16560,1177,4188,9288,46493,31,106,282,2075,792,3268,7082,35252,353,813,1923,9166,1719,4904,10894,33725,0,0,140,721,1255,3554,6466,20457,464,1349,4287,12546,397,0,957,1,-562,-6,0.32962963,-0.429992349,-0.004590666,19.79258077,-0.143597926,1,1,1,25,722,1749,430,10.29118468,-1.009181331,1,1,1,18.54527323,2.351456605,0.430638274,0.231621384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,5,0,0,1,4,0,1,2,5,0,0,1,9,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,10,0,0,2,0.119664938,0.215396889,0.714285714,18,4,3,0,5,0,9,2,18,8,0,0,1,0,4,1,0.430793777,0.095731951,0.430793777,0.191463901,W,E,Q,Q,Q,R,Q,E,Q,E,R,E,E,W,W,R,W,,,,,0,0,0,0,0,1,20,0,152
5,LOLTMNT02_22165,5,LCK 2024 Spring,LoL Champions Korea,LCK,LCK/2024 Season/Spring Season_Week 1_1,2024-01-17 8:20,1,14.1,Blue,DRX,DRX,Nongshim RedForce,NS,support,Pleata,Nami,,Summon Aery,Sorcery,Inspiration,Bot,Mid,Support,Jungle,Top,Support,Mid,Bot,Jungle,Top,0,K'Sante,Kalista,LeBlanc,Skarner,Sejuani,Heal,Flash,5,Spring,0,0,0,0,2024,0,534,0,9786,9350,,,0,0,44,0,119,14,2507,2.848025529,1848,3614,4839,9786,-10,290,360,-397,11,22,23,33,0,0,0,0,0,0,0,0,11,22,23,33,3,11,11,13,5,7,9,15,2135,3693,5598,14229,1293,2908,4879,11496,0,0,0,369,209,401,486,665,1084,2506,4393,10462,1167,2275,3568,15181,0,0,120,674,876,1817,2510,10370,291,458,937,4136,300,8,70,0,-757,2,0.013580247,-0.579188982,0.001530222,-9.501396091,0.311128839,0,1,1,25,722,1749,430,10.29118468,-1.009181331,1,1,1,4.585560431,1.174739424,0.106480924,0.104262246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,10,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,11,0,1,2,0.023932988,0.047865975,0.785714286,64,12,2,1,10,3,17,5,10,6,0,0,2,2,3,2,1.531711209,0.287195852,0.239329876,0.143597926,W,E,W,Q,E,R,E,E,E,W,R,W,W,Q,Q,,,,,,,0,0,0,0,0,0,0,0,0
6,LOLTMNT02_22165,5,LCK 2024 Spring,LoL Champions Korea,LCK,LCK/2024 Season/Spring Season_Week 1_1,2024-01-17 8:20,1,14.1,Red,Nongshim RedForce,NS,DRX,DRX,top,DnDn,Gnar,,Fleet Footwork,Precision,Resolve,Bot,Mid,Support,Jungle,Top,Support,Mid,Bot,Jungle,Top,1,Ashe,Varus,Vi,Nocturne,Lee Sin,Teleport,Flash,6,Spring,0,0,0,0,2024,0,8747,0,18017,17108,,,0,0,29,0,43,9,2507,1.029118468,2549,4785,6940,18017,-319,-152,-303,3390,64,136,194,352,0,0,0,7,0,0,-4,2,64,136,194,359,-8,2,-3,7,7,11,13,18,3852,7487,10604,24347,1699,4255,6648,19266,0,0,0,376,1516,3425,5123,16081,182,830,1524,2808,2204,5623,10031,34375,0,0,194,955,979,2693,5654,19778,1224,2929,4182,13641,167,10,-151,-5,3693,10,0.240560949,2.825554705,0.007651109,81.13282808,0.167530913,0,0,0,,,,,,,0,0,0,7.684882329,1.069323417,0.160628976,0.238841333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,0,0,0,4,0,0,1,6,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0.047865975,0.143597926,0.571428571,17,9,3,0,4,0,8,2,7,4,0,0,0,0,2,2,0.40686079,0.215396889,0.167530913,0.095731951,E,Q,W,Q,Q,R,Q,W,Q,W,R,W,W,E,E,R,E,E,,,,0,0,0,0,0,0,4,2,193
7,LOLTMNT02_22165,5,LCK 2024 Spring,LoL Champions Korea,LCK,LCK/2024 Season/Spring Season_Week 1_1,2024-01-17 8:20,1,14.1,Red,Nongshim RedForce,NS,DRX,DRX,jungle,Sylvie,Jax,,Lethal Tempo,Precision,Inspiration,Bot,Mid,Support,Jungle,Top,Support,Mid,Bot,Jungle,Top,1,Ashe,Varus,Vi,Nocturne,Lee Sin,Smite,Flash,7,Spring,0,0,0,0,2024,1,3281,0,13496,11283,,,0,0,17,0,94,16,2507,2.249700838,2160,4127,6094,13496,-443,-884,-1131,109,0,3,9,58,40,68,108,170,-17,-19,-10,4,40,71,117,228,-17,-27,-23,12,5,8,11,18,2285,4341,7462,18995,268,1527,2468,18589,0,48,154,859,164,734,1145,10781,104,744,1168,6949,4639,9676,12070,39780,0,40,40,1149,3581,7188,9072,27316,1057,2448,2958,11315,-441,-10,-247,4,1240,35,0.169363538,0.948737567,0.026778883,2.608695652,0.287195852,0,0,0,,,,,,,0,0,0,7.414838452,1.377371073,0.154984534,0.276395876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0,1,1,3,0,1,1,8,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0.023932988,0.095731951,0.642857143,30,16,2,0,7,2,10,4,25,16,0,0,3,2,8,5,0.717989629,0.382927802,0.598324691,0.382927802,E,W,Q,W,W,R,W,E,W,E,R,E,E,Q,Q,R,Q,Q,,,,1,0,1,0,0,4,118,14,128
8,LOLTMNT02_22165,5,LCK 2024 Spring,LoL Champions Korea,LCK,LCK/2024 Season/Spring Season_Week 1_1,2024-01-17 8:20,1,14.1,Red,Nongshim RedForce,NS,DRX,DRX,mid,Callme,Azir,,Fleet Footwork,Precision,Sorcery,Bot,Mid,Support,Jungle,Top,Support,Mid,Bot,Jungle,Top,1,Ashe,Varus,Vi,Nocturne,Lee Sin,Flash,Teleport,8,Spring,0,0,0,0,2024,1,5564,1,18323,17225,,,0,0,19,0,48,11,2507,1.148783406,2439,4352,6482,18323,-280,-847,-1619,3181,59,113,171,350,0,0,0,29,0,0,0,29,59,113,171,379,-15,-29,-35,41,7,10,13,18,3819,6847,10069,23846,1848,3768,7833,35374,0,0,0,748,94,143,178,757,1754,3625,7655,33868,2610,5578,8726,27106,0,28,66,193,405,1259,3095,9172,2205,4291,5565,17740,-567,-14,-772,-6,4800,76,0.286947141,3.672532517,0.058148432,76.13083367,0.981252493,0,0,0,,,,,,,0,0,0,14.11009174,1.930579054,0.29492834,0.18833551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,3,0,0,0,4,0,1,2,4,0,0,1,7,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0.071798963,0.167530913,0.5,15,11,4,1,7,3,8,4,10,5,0,0,1,0,4,3,0.358994815,0.263262864,0.239329876,0.119664938,W,Q,W,E,W,R,W,Q,W,Q,R,Q,Q,E,E,R,E,E,,,,1,0,0,0,0,1,14,7,168
9,LOLTMNT02_22165,5,LCK 2024 Spring,LoL Champions Korea,LCK,LCK/2024 Season/Spring Season_Week 1_1,2024-01-17 8:20,1,14.1,Red,Nongshim RedForce,NS,DRX,DRX,bot,Jiwoo,Aphelios,,Fleet Footwork,Precision,Resolve,Bot,Mid,Support,Jungle,Top,Support,Mid,Bot,Jungle,Top,1,Ashe,Varus,Vi,Nocturne,Lee Sin,Flash,Barrier,9,Spring,0,0,0,0,2024,0,4535,0,18945,16425,,,0,0,28,0,59,9,2507,1.41204627,2695,4472,6984,18945,-35,-432,-1389,-827,71,122,189,344,0,4,4,54,0,4,4,30,71,126,193,398,1,1,0,6,6,8,10,18,2459,4378,6930,20067,1909,4423,7932,42247,0,0,220,1845,1707,3974,6306,35428,201,449,1406,4973,1979,4656,10256,28366,18,56,194,801,1286,3502,6496,17630,674,1096,3565,9933,-397,0,-957,-1,562,6,0.293419633,0.429992349,0.004590666,-19.79258077,0.143597926,0,0,0,-25,-722,-1749,-430,-10.29118468,1.009181331,0,0,0,16.85161548,2.229981525,0.352231514,0.197090131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,8,0,0,1,2,0,0,0,2,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0.191463901,0.239329876,0.714285714,21,8,2,0,6,2,8,2,17,8,1,0,3,1,8,4,0.50259274,0.191463901,0.40686079,0.191463901,Q,Q,Q,E,Q,E,Q,E,Q,E,E,E,W,W,W,W,W,W,,,,0,0,0,0,0,0,31,5,89
10,LOLTMNT02_22165,5,LCK 2024 Spring,LoL Champions Korea,LCK,LCK/2024 Season/Spring Season_Week 1_1,2024-01-17 8:20,1,14.1,Red,Nongshim RedForce,NS,DRX,DRX,support,Peter,Milio,,Summon Aery,Sorcery,Inspiration,Bot,Mid,Support,Jungle,Top,Support,Mid,Bot,Jungle,Top,1,Ashe,Varus,Vi,Nocturne,Lee Sin,Flash,Heal,10,Spring,0,0,0,0,2024,1,20,0,10183,9450,,,0,0,10,0,126,24,2507,3.015556442,1858,3324,4479,10183,10,-290,-360,397,8,11,12,20,0,0,0,0,0,0,0,0,8,11,12,20,-3,-11,-11,-13,5,8,10,16,2397,4228,6219,16036,786,1345,1828,4465,0,0,0,38,232,394,426,746,553,950,1402,3681,1373,3381,5053,14297,13,49,49,319,596,1437,2159,5728,763,1894,2843,8249,-300,-8,-70,0,757,-2,0.009708738,0.579188982,-0.001530222,9.501396091,-0.311128839,1,0,0,-25,-722,-1749,-430,-10.29118468,1.009181331,0,0,0,1.781013163,0.438475891,0.037226636,0.09933715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,12,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,0,1,2,0,0.023932988,0.857142857,125,23,9,0,23,3,40,7,9,2,0,0,0,0,1,0,2.991623454,0.550458716,0.215396889,0.047865975,E,W,Q,E,E,R,E,W,W,W,R,W,E,Q,Q,R,,,,,,0,0,0,0,0,0,0,0,21
